Filename,MLCS 8485 laser coated
Instrument name,SDT 1 LEFT (192.168.0.183)
Operator,dAA
rundate,10/24/2023
Sample name,MLCS 8485 laser coated
proceduresegments,Data Off ; Select Gas: Gas 2 ; Balance Flow 100 mL/min; Mass Flow  100.00 mL/min; Isothermal 10.0 min; Data On ; Ramp 10.00 °C/min to 500.00 °C; Data Off 
[step]
Ramp 10.00 °C/min to 500.00 °C
Time,Temperature,Heat Flow (Normalized),Weight
min,°C,W/g,%
0.58,30.05,-0.018,99.636
0.58,30.05,-0.018,99.636
0.58,30.05,-0.018,99.636
0.58,30.05,-0.018,99.636
0.58,30.05,-0.018,99.636
0.59,30.05,-0.018,99.636
0.59,30.05,-0.018,99.636
0.59,30.05,-0.018,99.636
0.59,30.05,-0.018,99.636
0.59,30.05,-0.018,99.636
0.60,30.05,-0.018,99.636
0.60,30.05,-0.018,99.636
0.60,30.05,-0.018,99.636
0.60,30.05,-0.018,99.636
0.60,30.06,-0.018,99.636
0.60,30.06,-0.018,99.636
0.60,30.06,-0.018,99.635
0.61,30.06,-0.018,99.635
0.61,30.06,-0.018,99.635
0.61,30.06,-0.018,99.635
0.61,30.06,-0.018,99.635
0.61,30.06,-0.018,99.635
0.62,30.06,-0.018,99.635
0.62,30.06,-0.018,99.635
0.62,30.06,-0.018,99.635
0.62,30.06,-0.018,99.635
0.62,30.06,-0.018,99.635
0.62,30.06,-0.018,99.635
0.63,30.06,-0.018,99.635
0.63,30.07,-0.018,99.635
0.63,30.07,-0.018,99.635
0.63,30.07,-0.018,99.635
0.63,30.07,-0.018,99.635
0.63,30.07,-0.018,99.635
0.63,30.07,-0.018,99.635
0.64,30.07,-0.018,99.635
0.64,30.07,-0.018,99.635
0.64,30.07,-0.018,99.635
0.64,30.07,-0.018,99.635
0.64,30.07,-0.018,99.635
0.65,30.08,-0.018,99.635
0.65,30.08,-0.018,99.635
0.65,30.08,-0.018,99.635
0.65,30.08,-0.018,99.635
0.65,30.08,-0.018,99.635
0.65,30.08,-0.018,99.635
0.65,30.08,-0.018,99.635
0.66,30.08,-0.018,99.635
0.66,30.09,-0.018,99.635
0.66,30.09,-0.018,99.635
0.66,30.09,-0.018,99.635
0.66,30.09,-0.018,99.635
0.67,30.09,-0.018,99.634
0.67,30.09,-0.018,99.634
0.67,30.09,-0.018,99.634
0.67,30.09,-0.018,99.634
0.67,30.09,-0.018,99.634
0.67,30.10,-0.018,99.634
0.68,30.10,-0.018,99.634
0.68,30.10,-0.018,99.634
0.68,30.10,-0.018,99.634
0.68,30.10,-0.018,99.634
0.68,30.10,-0.018,99.634
0.68,30.11,-0.018,99.634
0.68,30.11,-0.018,99.634
0.69,30.11,-0.018,99.634
0.69,30.11,-0.018,99.634
0.69,30.11,-0.018,99.634
0.69,30.11,-0.018,99.634
0.69,30.11,-0.018,99.634
0.70,30.12,-0.018,99.634
0.70,30.12,-0.018,99.634
0.70,30.12,-0.018,99.634
0.70,30.12,-0.018,99.634
0.70,30.12,-0.018,99.634
0.70,30.13,-0.018,99.634
0.70,30.13,-0.018,99.634
0.71,30.13,-0.018,99.634
0.71,30.13,-0.018,99.634
0.71,30.13,-0.018,99.634
0.71,30.14,-0.018,99.634
0.71,30.14,-0.018,99.634
0.72,30.14,-0.018,99.634
0.72,30.14,-0.018,99.634
0.72,30.14,-0.018,99.634
0.72,30.14,-0.018,99.634
0.72,30.15,-0.018,99.634
0.72,30.15,-0.018,99.634
0.73,30.15,-0.018,99.634
0.73,30.15,-0.018,99.634
0.73,30.16,-0.018,99.634
0.73,30.16,-0.018,99.634
0.73,30.16,-0.018,99.634
0.73,30.16,-0.018,99.634
0.73,30.16,-0.018,99.634
0.74,30.17,-0.018,99.634
0.74,30.17,-0.018,99.634
0.74,30.17,-0.018,99.634
0.74,30.17,-0.018,99.634
0.74,30.18,-0.018,99.634
0.75,30.18,-0.018,99.634
0.75,30.18,-0.018,99.634
0.75,30.18,-0.018,99.634
0.75,30.18,-0.018,99.634
0.75,30.19,-0.018,99.634
0.75,30.19,-0.018,99.634
0.75,30.19,-0.018,99.634
0.76,30.20,-0.018,99.634
0.76,30.20,-0.018,99.634
0.76,30.20,-0.018,99.633
0.76,30.20,-0.018,99.633
0.76,30.21,-0.018,99.633
0.77,30.21,-0.018,99.633
0.77,30.21,-0.018,99.633
0.77,30.21,-0.018,99.633
0.77,30.22,-0.018,99.633
